Age Group,total_cases_by_age,age_based_case_rate,age_based_deaths,age_based_death_rate,date
0-17,855,2.3,0,0,2020-04-22
0-17,936,2.4,0,0,2020-04-23
0-17,1011,2.5,0,0,2020-04-24
0-17,1039,2.5,0,0,2020-04-25
0-17,1085,2.5,0,0,2020-04-26
0-17,1190,2.6,0,0,2020-04-27
0-17,1263,2.7,0,0,2020-04-28
0-17,1398,2.9,0,0,2020-04-29
0-17,1449,2.9,0,0,2020-04-30
0-17,1566,3,0,0,2020-05-01
0-17,1640,3.1,0,0,2020-05-02
0-17,1715,3.1,0,0,2020-05-03
0-17,1773,3.2,0,0,2020-05-04
0-17,1937,3.3,0,0,2020-05-05
0-17,2055,3.4,0,0,2020-05-06
0-17,2181,3.5,0,0,2020-05-07
0-17,2260,3.5,0,0,2020-05-08
0-17,2373,3.6,0,0,2020-05-09
0-17,2444,3.6,0,0,2020-05-10
0-17,2549,3.7,0,0,2020-05-11
0-17,2672,3.8,0,0,2020-05-12
0-17,2799,3.8,0,0,2020-05-13
0-17,2951,3.9,0,0,2020-05-14
0-17,3064,4,0,0,2020-05-15
0-17,3225,4.1,0,0,2020-05-16
0-17,3355,4.2,0,0,2020-05-17
0-17,3446,4.2,0,0,2020-05-18
0-17,3657,4.4,0,0,2020-05-19
0-17,3855,4.5,0,0,2020-05-20
0-17,4049,4.6,0,0,2020-05-21
0-17,4273,4.7,0,0,2020-05-22
0-17,4462,4.8,0,0,2020-05-23
0-17,4633,4.9,0,0,2020-05-24
0-17,4872,5,0,0,2020-05-25
0-17,5122,5.2,0,0,2020-05-26
0-17,5371,5.3,0,0,2020-05-27
0-17,5542,5.3,0,0,2020-05-28
0-17,5861,5.5,0,0,2020-05-29
0-17,6254,5.7,0,0,2020-05-30
0-17,6488,5.7,0,0,2020-05-31
0-17,6706,5.8,0,0,2020-06-01
0-17,6925,5.9,0,0,2020-06-02
0-17,7119,5.9,0,0,2020-06-03
0-17,7408,6,0,0,2020-06-04
0-17,7678,6.1,0,0,2020-06-05
0-17,7947,6.2,0,0,2020-06-06
0-17,8248,6.3,0,0,2020-06-07
0-17,8509,6.4,0,0,2020-06-08
0-17,8800,6.5,0,0,2020-06-09
0-17,9136,6.6,0,0,2020-06-10
0-17,9461,6.7,0,0,2020-06-11
0-17,9819,6.7,0,0,2020-06-12
0-17,10184,6.8,0,0,2020-06-13
0-17,10451,6.9,0,0,2020-06-14
0-17,10702,7,0,0,2020-06-15
0-17,11064,7,0,0,2020-06-16
0-17,11582,7.2,0,0,2020-06-17
0-17,12063,7.3,0,0,2020-06-18
0-17,12441,7.3,0,0,2020-06-19
0-17,12897,7.4,0,0,2020-06-20
0-17,13346,7.5,0,0,2020-06-21
0-17,13867,7.6,0,0,2020-06-22
0-17,14524,7.6,0,0,2020-06-23
0-17,14968,7.7,0,0,2020-06-24
0-17,15449,7.7,0,0,2020-06-25
0-17,16093,7.8,0,0,2020-06-26
0-17,16546,7.9,0,0,2020-06-27
0-17,17157,7.9,0,0,2020-06-28
0-17,17739,8,0,0,2020-06-29
0-17,18672,8,0,0,2020-06-30
0-17,19328,8,0,0,2020-07-01
0-17,20088,8.1,0,0,2020-07-02
0-17,20610,8.1,0,0,2020-07-03
0-17,21219,8.2,0,0,2020-07-04
0-17,22332,8.2,0,0,2020-07-05
0-17,22861,8.2,0,0,2020-07-06
0-17,23960,8.3,0,0,2020-07-07
0-17,24556,8.3,0,0,2020-07-08
0-17,25160,8.3,0,0,2020-07-09
0-17,25889,8.3,0,0,2020-07-10
0-17,26652,8.3,0,0,2020-07-11
0-17,27415,8.3,0,0,2020-07-12
0-17,28108,8.4,0,0,2020-07-13
0-17,29156,8.4,0,0,2020-07-14
0-17,29945,8.4,0,0,2020-07-15
0-17,31018,8.5,0,0,2020-07-16
0-17,31953,8.5,0,0,2020-07-17
0-17,32913,8.6,0,0,2020-07-18
0-17,33630,8.6,0,0,2020-07-19
0-17,34617,8.6,0,0,2020-07-20
0-17,35962,8.7,0,0,2020-07-21
0-17,37335,8.8,0,0,2020-07-22
0-17,38301,8.8,0,0,2020-07-23
0-17,39396,8.8,0,0,2020-07-24
0-17,40407,8.9,0,0,2020-07-25
0-17,41148,8.9,0,0,2020-07-26
0-17,41836,9,0,0,2020-07-27
0-17,42697,9,0,0,2020-07-28
0-17,43880,9,0,0,2020-07-29
0-17,44793,9.1,0,0,2020-07-30
0-17,45520,9.1,0,0,2020-07-31
0-17,46556,9.1,0,0,2020-08-01
0-17,47286,9.2,1,0,2020-08-02
0-17,47920,9.2,1,0,2020-08-03
0-17,48524,9.2,1,0,2020-08-04
0-17,49158,9.3,1,0,2020-08-05
0-17,50193,9.3,1,0,2020-08-06
0-17,51132,9.4,1,0,2020-08-07
0-17,52104,9.4,1,0,2020-08-08
0-17,53136,9.5,1,0,2020-08-09
0-17,54778,9.5,1,0,2020-08-10
0-17,56276,9.6,1,0,2020-08-11
0-17,57230,9.6,1,0,2020-08-12
0-17,58146,9.7,1,0,2020-08-13
0-17,59682,9.7,1,0,2020-08-14
0-17,60630,9.8,1,0,2020-08-15
0-17,61538,9.8,1,0,2020-08-16
0-17,62233,9.8,1,0,2020-08-17
0-17,63118,9.9,1,0,2020-08-18
0-17,63909,9.9,1,0,2020-08-19
0-17,64573,9.9,2,0,2020-08-20
0-17,65360,9.9,2,0,2020-08-21
0-17,66204,10,2,0,2020-08-22
0-17,66828,10,2,0,2020-08-23
0-17,67462,10,2,0,2020-08-24
0-17,68163,10,3,0,2020-08-25
0-17,68731,10.1,3,0,2020-08-26
0-17,69369,10.1,4,0,2020-08-27
0-17,69964,10.1,3,0,2020-08-28
0-17,70677,10.1,3,0,2020-08-29
0-17,71224,10.1,3,0,2020-08-30
0-17,71776,10.1,3,0,2020-08-31
0-17,72271,10.1,3,0,2020-09-01
0-17,72822,10.2,3,0,2020-09-02
0-17,73330,10.2,3,0,2020-09-03
0-17,73915,10.2,3,0,2020-09-04
0-17,74490,10.2,3,0,2020-09-05
0-17,74886,10.2,3,0,2020-09-06
