Ethnicity,total_cases_by_ethnicity,ethnicity_based_case_rate,ethnicity_based_deaths,ethnicity_based_death_rate,date
American Indian or Alaska Native,33,0.2,3,0.5,2020-04-13
American Indian or Alaska Native,33,0.2,3,0.4,2020-04-14
American Indian or Alaska Native,32,0.2,3,0.4,2020-04-15
American Indian or Alaska Native,34,0.2,4,0.5,2020-04-16
American Indian or Alaska Native,38,0.2,4,0.4,2020-04-17
American Indian or Alaska Native,39,0.2,4,0.4,2020-04-18
American Indian or Alaska Native,40,0.2,4,0.4,2020-04-19
American Indian or Alaska Native,43,0.2,4,0.4,2020-04-20
American Indian or Alaska Native,50,0.2,4,0.3,2020-04-21
American Indian or Alaska Native,53,0.2,5,0.4,2020-04-22
American Indian or Alaska Native,53,0.2,7,0.5,2020-04-23
American Indian or Alaska Native,56,0.2,7,0.5,2020-04-24
American Indian or Alaska Native,58,0.2,7,0.5,2020-04-25
American Indian or Alaska Native,59,0.2,7,0.5,2020-04-26
American Indian or Alaska Native,63,0.2,7,0.4,2020-04-27
American Indian or Alaska Native,71,0.2,7,0.4,2020-04-28
American Indian or Alaska Native,73,0.2,7,0.4,2020-04-29
American Indian or Alaska Native,66,0.2,7,0.4,2020-04-30
American Indian or Alaska Native,68,0.2,7,0.4,2020-05-01
American Indian or Alaska Native,70,0.2,7,0.3,2020-05-02
American Indian or Alaska Native,71,0.2,7,0.3,2020-05-03
American Indian or Alaska Native,72,0.2,7,0.3,2020-05-04
American Indian or Alaska Native,74,0.2,8,0.4,2020-05-05
American Indian or Alaska Native,75,0.2,8,0.3,2020-05-06
American Indian or Alaska Native,78,0.2,8,0.3,2020-05-07
American Indian or Alaska Native,80,0.2,8,0.3,2020-05-08
American Indian or Alaska Native,84,0.2,8,0.3,2020-05-09
American Indian or Alaska Native,87,0.2,8,0.3,2020-05-10
American Indian or Alaska Native,89,0.2,9,0.3,2020-05-11
American Indian or Alaska Native,91,0.2,9,0.3,2020-05-12
American Indian or Alaska Native,92,0.2,10,0.4,2020-05-13
American Indian or Alaska Native,95,0.2,11,0.4,2020-05-14
American Indian or Alaska Native,99,0.2,13,0.4,2020-05-15
American Indian or Alaska Native,104,0.2,14,0.5,2020-05-16
American Indian or Alaska Native,108,0.2,14,0.4,2020-05-17
American Indian or Alaska Native,111,0.2,14,0.4,2020-05-18
American Indian or Alaska Native,113,0.2,14,0.4,2020-05-19
American Indian or Alaska Native,120,0.2,14,0.4,2020-05-20
