Gender,total_cases_by_gender,gender_based_case_rate,gender_based_deaths,gender_based_death_rate,date
Female,18395,49.2,552,39.5,2020-04-22
Female,19394,49.4,593,39.8,2020-04-23
Female,20395,49.6,625,39.7,2020-04-24
Female,20908,49.6,657,39.9,2020-04-25
Female,21562,49.6,664,39.6,2020-04-26
Female,22384,49.7,688,40,2020-04-27
Female,23154,49.8,725,40.1,2020-04-28
Female,24247,49.6,764,40.4,2020-04-29
Female,24973,49.5,812,40.8,2020-04-30
Female,25881,49.6,858,41.2,2020-05-01
Female,26556,49.5,887,41.5,2020-05-02
Female,27239,49.6,905,41.6,2020-05-03
Female,27853,49.5,929,41.8,2020-05-04
Female,29190,49.6,990,42.6,2020-05-05
Female,30109,49.7,1039,43.1,2020-05-06
Female,30972,49.5,1061,42.6,2020-05-07
Female,31756,49.2,1101,42.7,2020-05-08
Female,32660,49,1144,43.1,2020-05-09
Female,33291,49,1161,43.1,2020-05-10
Female,33992,49,1187,43.1,2020-05-11
Female,34851,49,1230,43.2,2020-05-12
Female,35890,49.1,1267,43.3,2020-05-13
Female,36728,49,1315,43.4,2020-05-14
Female,37676,49.1,1363,43.7,2020-05-15
Female,38662,49,1397,43.9,2020-05-16
Female,39425,49,1412,43.9,2020-05-17
Female,40105,49,1426,43.9,2020-05-18
Female,41226,49,1483,44,2020-05-19
Female,42252,49,1521,44.1,2020-05-20
Female,43272,48.9,1562,44.1,2020-05-21
Female,44539,49.1,1584,44.1,2020-05-22
Female,45597,49.2,1608,44.1,2020-05-23
Female,46544,49.2,1616,44.1,2020-05-24
Female,47595,49.2,1620,44,2020-05-25
Female,48739,49.2,1631,44,2020-05-26
Female,50091,49.3,1682,44.1,2020-05-27
Female,51169,49.3,1725,44.2,2020-05-28
Female,52561,49.2,1759,44.1,2020-05-29
Female,54396,49.2,1784,44.1,2020-05-30
Female,55605,49.2,1797,44,2020-05-31
Female,56728,49.2,1816,44,2020-06-01
Female,57878,49.2,1866,44.1,2020-06-02
Female,58886,49.2,1894,44.1,2020-06-03
Female,60404,49.1,1921,44,2020-06-04
Female,61848,49.1,1947,43.9,2020-06-05
Female,63173,49,1979,44,2020-06-06
Female,64392,49,1991,44,2020-06-07
Female,65556,49.1,2008,44,2020-06-08
Female,66889,49.1,2047,43.9,2020-06-09
Female,68430,49.1,2094,43.9,2020-06-10
Female,69729,49.1,2126,44,2020-06-11
Female,71501,49.1,2146,44,2020-06-12
Female,73095,49.1,2184,44,2020-06-13
Female,74350,49.1,2189,44,2020-06-14
Female,75416,49.1,2197,43.9,2020-06-15
Female,77199,49.2,2226,44,2020-06-16
Female,79243,49.2,2260,44,2020-06-17
Female,81326,49.2,2307,43.9,2020-06-18
Female,83285,49.2,2328,43.8,2020-06-19
Female,85516,49.2,2368,43.8,2020-06-20
Female,87641,49.2,2372,43.7,2020-06-21
Female,90119,49.2,2384,43.8,2020-06-22
Female,93554,49.2,2397,43.6,2020-06-23
Female,96068,49.1,2445,43.6,2020-06-24
Female,98564,49.2,2500,43.7,2020-06-25
Female,101509,49.2,2524,43.6,2020-06-26
Female,103517,49.2,2531,43.6,2020-06-27
Female,106610,49.2,2554,43.7,2020-06-28
Female,109850,49.3,2566,43.7,2020-06-29
Female,114626,49.3,2607,43.6,2020-06-30
Female,118389,49.3,2644,43.6,2020-07-01
Female,122484,49.3,2701,43.7,2020-07-02
Female,125717,49.4,2731,43.7,2020-07-03
Female,128461,49.4,2740,43.7,2020-07-04
